code,date,prev,after,段_前,段_后,勾选,方向,翻面
002058,2020-01-22,,-1347.12,,-1461.28万元至-1232.96万元,亏损,,
002058,2021-01-30,,-100.0,,200 万元–0 万元,扭亏为盈,,
002058,2021-03-13,,450.0,,360 万元–540 万元,,,
002059,2020-01-23,24500.0,11250.0,"14,000 万元至35,000 万元","9,000 万元～13,500 万元",,坏→更坏,0.0
002059,2021-01-30,,,"-2,400 万元至-1,200 万元","1,200 万元至2,400 万元",,,
002061,2017-01-20,4750.0,6250.0,"4,000 万至5,500 万元","5,500 万元 至 7,000 万元",亏损,好→更好,0.0
002061,2018-01-31,46250.0,,"42,500 万至50,000 万元",,扭亏为盈,,
002065,2018-01-31,121452.375,71971.775,"112,455.9 万元至130,448.85 万元","58,477.07 万元 至85,466.48 万元",同向上升,坏→更坏,0.0
002066,2018-01-31,,,,,,,
002066,2019-01-15,,,,,,,
002067,2019-01-31,,35500.0,,"33,000 万元 ～ 38,000 万元",同向上升,,
002067,2019-02-20,,,,,,,
002068,2017-01-25,3900.0,9400.0,"3,500万元至4,300万元","9,000 万元-9,800 万元",扭亏为盈,好→更好,0.0
002068,2019-01-31,,41000.0,,"39,000 万元–43,000 万元",同向上升,,
002069,2017-01-26,,,,,亏损,,
002069,2018-01-31,10000.0,,"9,000 万元～11,000 万元",,亏损,,
002069,2025-04-15,-360.0,,240 万元–480 万元,,,,
002070,2017-01-26,,6500.0,,"5,000 万元–8,000 万元",,,
002070,2019-01-30,,-50000.0,,"40,000 万元–60,000 万元",,,
002072,2019-01-31,,-46750.0,,"47,000 万元 至46,500 万元",亏损,,
002073,2019-01-31,10586.005000000001,-28000.0,"9,205.22万元至11,966.79万元","26,000 万元—30,000 万元",亏损,坏→更坏,1.0
002075,2017-01-14,17000.0,22000.0,"14,000万元～20,000万元","18,000 万元～26,000 万元",,好→更好,0.0
002075,2018-01-27,52250.0,73700.0,"47,300万元～57,200万元","68,200 万元～79,200 万元",,好→更好,0.0
002076,2021-04-15,33500.0,950.0,"32,000.00 万元–35,000.00 万元","800.00 万元–1,100.00 万元",亏损,坏→更坏,0.0
002076,2023-03-02,6350.0,,"5,100 万元至7,600 万元",,,,
002076,2025-04-22,,,,,,,
002077,2019-01-31,,-50000.0,,"40,000 万元–60,000 万元",亏损,,
002083,2018-01-31,45350.0,39708.1,"41,600万元至49,100万元","37,816.20 万元 – 41,600 万元",扭亏为盈,坏→更坏,0.0
002086,2021-04-28,,625.0,,500万元-750万元,,,
002087,2023-04-07,-45500.0,,"43,000.00万元-48,000.00万元",,,,
002089,2017-01-26,,9649.035,,"8270.60 万元– 11,027.47 万元",同向上升,,
002089,2018-01-31,,21964.935,,"21,280.24 万元– 22,649.63 万元",扭亏为盈,,
002091,2017-01-26,28802.945,52805.39,"26,402.7 万元至31,203.19 万元","49,205.02 万元–56,405.76 万元",扭亏为盈,好→更好,0.0
002092,2017-01-10,,182500.0,,"175,000 万元–190,000 万元",扭亏为盈,,
002092,2020-01-23,50000.0,35000.0,"40,000万元至60,000万元","30,000 万元–40,000 万元",同向上升,坏→更坏,0.0
002092,2021-01-16,,,,,扭亏为盈,,
002093,2019-01-26,,15466.465,,"11,396.34 万元–19,536.59 万元",同向上升,,
002094,2018-01-11,50967.884999999995,42627.695,48187.82 万元至53747.95 万元,39847.63 万元–45407.76 万元,扭亏为盈,坏→更坏,0.0
002094,2019-01-31,,13095.52,,"10,073.48 万元–16,117.56 万元",同向上升,,
002094,2022-04-30,,,,,,,
