code,year,label,score,stage_date,stage
000599,2022,1.0,0.6391327013854257,2022-04-29,① 一季报披露
000600,2022,0.0,0.1511478968729796,2022-04-28,① 一季报披露
000601,2022,1.0,0.2167424496078562,2022-04-30,① 一季报披露
000603,2022,0.0,0.11467476285282649,2022-04-29,① 一季报披露
000605,2022,0.0,0.29779308469889654,2022-04-30,① 一季报披露
000607,2022,0.0,0.2521378978187677,2022-04-30,① 一季报披露
000608,2022,1.0,0.25268055179333754,2022-04-30,① 一季报披露
000609,2022,1.0,0.44474859412965007,2022-04-28,① 一季报披露
000610,2022,1.0,0.37703411312916474,2022-04-23,① 一季报披露
000612,2022,0.0,0.03587429114141107,2022-04-28,① 一季报披露
000615,2022,1.0,0.601902212912629,2022-04-30,① 一季报披露
000617,2022,0.0,0.05498508431466874,2022-04-29,① 一季报披露
000619,2022,1.0,0.20589584095965635,2022-04-23,① 一季报披露
000620,2022,1.0,0.31520669483513036,2022-04-29,① 一季报披露
000623,2022,0.0,0.1640613165047575,2022-04-30,① 一季报披露
000625,2022,0.0,0.01686696874255041,2022-04-29,① 一季报披露
000626,2022,0.0,0.13329856641544366,2022-04-29,① 一季报披露
000628,2022,0.0,0.02938325538835062,2022-04-29,① 一季报披露
000629,2022,0.0,0.02107459463575578,2022-04-22,① 一季报披露
000630,2022,0.0,0.016737340306797847,2022-04-29,① 一季报披露
000631,2022,0.0,0.031215060783620404,2022-04-23,① 一季报披露
000632,2022,0.0,0.1991380165241585,2022-04-29,① 一季报披露
000633,2022,0.0,0.07844211239976738,2022-04-27,① 一季报披露
000635,2022,1.0,0.35329618761446535,2022-04-28,① 一季报披露
000636,2022,0.0,0.012116917614110469,2022-04-28,① 一季报披露
000637,2022,1.0,0.06385562192635752,2022-04-29,① 一季报披露
000639,2022,1.0,0.17969732797887994,2022-04-30,① 一季报披露
000650,2022,0.0,0.015248740922055947,2022-04-27,① 一季报披露
000651,2022,0.0,0.02170339767406473,2022-04-30,① 一季报披露
000652,2022,0.0,0.21512156770840324,2022-04-28,① 一季报披露
000655,2022,0.0,0.06788231950649352,2022-04-23,① 一季报披露
000656,2022,1.0,0.08161329802729599,2022-04-30,① 一季报披露
000657,2022,0.0,0.014746042895030164,2022-04-29,① 一季报披露
000659,2022,1.0,0.30411117520475445,2022-04-29,① 一季报披露
000661,2022,0.0,0.012087625655610449,2022-04-28,① 一季报披露
000663,2022,0.0,0.01929497455264371,2022-04-29,① 一季报披露
000665,2022,1.0,0.42305220657039955,2022-04-27,① 一季报披露
000668,2022,1.0,0.08078868321892732,2022-04-30,① 一季报披露
000669,2022,1.0,0.2276830129707762,2022-04-29,① 一季报披露
000670,2022,0.0,0.14954675297260117,2022-04-30,① 一季报披露
000672,2022,0.0,0.010029910595792772,2022-04-27,① 一季报披露
000676,2022,1.0,0.28014895216090474,2022-04-28,① 一季报披露
000677,2022,0.0,0.024960370890940775,2022-04-26,① 一季报披露
000678,2022,1.0,0.5489714129703845,2022-04-29,① 一季报披露
000679,2022,1.0,0.30784195415805327,2022-04-30,① 一季报披露
000680,2022,0.0,0.02434804279382174,2022-04-30,① 一季报披露
000681,2022,0.0,0.06580651420042745,2022-04-28,① 一季报披露
000682,2022,0.0,0.02339233040119878,2022-04-29,① 一季报披露
000683,2022,0.0,0.009591543031057975,2022-04-23,① 一季报披露
000685,2022,0.0,0.02992093751427751,2022-04-30,① 一季报披露
000686,2022,0.0,0.2622194858161384,2022-04-28,① 一季报披露
000688,2022,0.0,0.028160058215651564,2022-04-28,① 一季报披露
000690,2022,0.0,0.06276789574815861,2022-04-29,① 一季报披露
000691,2022,0.0,0.24057552513329136,2022-04-28,① 一季报披露
000692,2022,1.0,0.355908659441553,2022-04-27,① 一季报披露
000695,2022,1.0,0.4795623178175387,2022-04-29,① 一季报披露
000697,2022,1.0,0.3646108170487925,2022-04-30,① 一季报披露
000698,2022,1.0,0.2876353007810561,2022-04-27,① 一季报披露
000700,2022,0.0,0.07314905768826596,2022-04-30,① 一季报披露
000701,2022,0.0,0.15773463634440887,2022-04-27,① 一季报披露
000702,2022,1.0,0.47373232020266115,2022-04-30,① 一季报披露
000703,2022,1.0,0.01497768599640093,2022-04-26,① 一季报披露
000705,2022,0.0,0.09464071639019916,2022-04-29,① 一季报披露
000707,2022,0.0,0.01011137570071331,2022-04-27,① 一季报披露
000708,2022,0.0,0.014404705618521373,2022-04-23,① 一季报披露
000709,2022,0.0,0.02889691466184955,2022-04-22,① 一季报披露
000710,2022,1.0,0.37657004842514524,2022-04-15,① 一季报披露
000711,2022,1.0,0.6669299845096758,2022-04-28,① 一季报披露
000712,2022,1.0,0.2920813946138334,2022-04-30,① 一季报披露
000713,2022,0.0,0.10257309797598975,2022-04-28,① 一季报披露
000715,2022,0.0,0.02510662185333615,2022-04-23,① 一季报披露
000716,2022,1.0,0.3183267721707885,2022-04-30,① 一季报披露
000717,2022,1.0,0.023533844255316565,2022-04-29,① 一季报披露
