date,code,from,to,kind,title,公告日,在名单,score,首次确认
2025-01-15 00:00:00,301023,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.015889,True
2025-01-15 00:00:00,301051,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-15 00:00:00,True,0.824918,True
2025-01-15 00:00:00,301302,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-15 00:00:00,True,0.736708,True
2025-01-15 00:00:00,600059,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.018989,True
2025-01-15 00:00:00,600126,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-15 00:00:00,False,0.108933,True
2025-01-15 00:00:00,600313,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.025765,True
2025-01-15 00:00:00,600390,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.130823,True
2025-01-15 00:00:00,600397,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-15 00:00:00,True,0.832529,True
2025-01-15 00:00:00,600419,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.105047,True
2025-01-15 00:00:00,600423,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.036389,True
2025-01-15 00:00:00,600537,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-15 00:00:00,True,0.793434,True
2025-01-15 00:00:00,600740,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.115277,True
2025-01-15 00:00:00,600929,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.006003,True
2025-01-15 00:00:00,600962,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.167261,True
2025-01-15 00:00:00,601519,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-15 00:00:00,False,0.262435,True
2025-01-15 00:00:00,601633,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.006748,True
2025-01-15 00:00:00,601933,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-15 00:00:00,False,0.343548,True
2025-01-15 00:00:00,603031,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.006357,True
2025-01-15 00:00:00,603268,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-15 00:00:00,True,0.78769,True
2025-01-15 00:00:00,603688,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.005096,True
2025-01-15 00:00:00,603712,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-15 00:00:00,False,0.140903,True
2025-01-15 00:00:00,688012,预测中,已明说不会亏,预告,2024年度业绩预告（略减）,2025-01-15 00:00:00,False,0.010099,True
2025-01-15 00:00:00,688068,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-15 00:00:00,False,0.370015,True
2025-01-15 00:00:00,688256,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-15 00:00:00,True,0.859169,True
2025-01-15 00:00:00,688636,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.451406,True
2025-01-16 00:00:00,000066,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-16 00:00:00,False,0.452957,True
2025-01-16 00:00:00,000156,预测中,已明说不会亏,预告,2024年度业绩预告（略减）,2025-01-16 00:00:00,False,0.023889,True
2025-01-16 00:00:00,000713,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.245538,True
2025-01-16 00:00:00,000729,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.020883,True
2025-01-16 00:00:00,000930,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,2025-01-16 00:00:00,False,0.2629,True
2025-01-16 00:00:00,000969,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.011067,True
2025-01-16 00:00:00,000975,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-16 00:00:00,False,0.004787,True
