code,date,grp,chars,锚点,类别,证据,title,非公司件,未实施件,粗类
000903,2026-04-28,③ 亏了也戴帽,2687,的主要原因,信息披露违法 / 立案 / 处罚,7月8日，公司收到中国证券监督管理委员会云南监管局《行政处罚事先告知书》（〔2025〕2号），根据《深圳证券交易所股票上市规则》第9.8.1条第（八）项规定，公司股票被实施其他,关于公司股票交易被叠加实施其他风险警示的公告,False,False,合规/治理类
000908,2024-04-30,③ 亏了也戴帽,2633,实施其他风险警示的原因,内控被否 / 重大缺陷,因1、大信对公司2023年度内部控制出具了否定意见的内部控制审计报告。公司最近一年被出具否定意见的内部控制审计报告，属于《深圳证券交易所股票上市规则》第9.8.1条第一款第（四,关于公司股票交易被实施退市风险警示叠加其他风险警示暨股票停复牌的公告,False,False,合规/治理类
000909,2026-03-31,③ 亏了也戴帽,2025,实施退市风险警示的原因,财务类：收入或净资产指标,净利润、扣除非经常性损益后的净利润均为负值且扣除后的营业收入低于3亿元，根据《深圳证券交易所股票上市规则》第9.3.1条的规定，公司股票交易将被叠加实施退市风险警示。三、公司董,关于公司股票交易被叠加实施退市风险警示暨停复牌的公告,False,False,财务类
000911,2026-04-29,③ 亏了也戴帽,3869,实施其他风险警示的原因,内控被否 / 重大缺陷,见或者否定意见的审计报告，或者未按照规定披露财务报告内部控制审计报告”，公司股票交易将在年度报告披露后被实施其他风险警示。综上所述，由于公司同时触及对股票交易实施退市风险警示和,广西农投糖业集团股份有限公司关于公司股票交易被实施退市风险警示和其他风险警示暨停牌的公告,False,False,合规/治理类
000929,2025-04-29,③ 亏了也戴帽,2266,的主要原因,财务类：收入或净资产指标,、扣除非经常性损益后的净利润三者均为负值，且扣除后的营业收入低于3亿元。上述财务数据触及《深圳证券交易所股票上市规则》第9.3.1条“（一）最近一个会计年度经审计的利润总额、净,关于公司股票交易被实施退市风险警示暨停牌的公告,False,False,财务类
000972,2025-03-29,③ 亏了也戴帽,2363,的主要原因,财务类：收入或净资产指标,、扣除非经常性损益后的净利润三者均为负值，且扣除后的营业收入低于3亿元，同时，归属于上市公司股东的净资产为负。上述财务数据触及《深圳证券交易所股票上市规则（2024年修订）》第,关于公司股票交易被实施退市风险警示暨停牌的公告,False,False,财务类
001270,2025-04-23,③ 亏了也戴帽,3654,的主要原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元。”的情形，其股票交易将被实施退市风险警示（股票简称前冠以“*ST”字样）。经立信会计师事务所（特殊普通合,浙江铖昌科技股份有限公司关于公司股票交易被实施退市风险警示暨股票停牌的公告,False,False,财务类
002021,2023-11-25,③ 亏了也戴帽,6994,,重整 / 破产,-093中捷资源投资股份有限公司关于法院裁定受理公司重整、启动债权申报及召开第一次债权人会议暨公司股票交易将被叠加实施退市风险警示的公告本公司及董事会全体成员保证信息披露的内容,关于法院裁定受理公司重整、启动债权申报及召开第一次债权人会议暨公司股票交易将被叠加实施退市风险警示的公告,False,False,重整/破产
002047,2025-04-24,③ 亏了也戴帽,2563,的主要原因,财务类：收入或净资产指标,定，上市公司出现“（二）最近一个会计年度经审计的期末净资产为负值”的情形，深圳证券交易所将对其股票交易实施退市风险警示。如公司2024年度经审计的期末归属于母公司所有者权益为负,关于2024年年度业绩预告修正暨可能被实施退市风险警示的公告,False,True,财务类
002055,2026-04-29,③ 亏了也戴帽,2024,实施其他风险警示的原因,未归类,实施其他风险警示的原因由于公司连续三个会计年度（2023年至2025年）扣除非经常性损益前后净利润孰低者均为负值，且2025年度被中证天通会计师事务所（特殊普通,关于公司股票被叠加实施其他风险警示的公告,False,False,未归类
